end=87,5
music=assets/sounds/level1theme.wav
background=-15;-10;-3;120;30;1
textureID=13
element=0;-1;-2;0;0;0,5;2;1;2
element=0;-1;-2;0;16;1;2;0;1
element=0;7;-2;0;0;0,5;2;0;1
element=0;15;-2;0;0;0,5;2;1;2
element=1;18;1;0;8;1;2;0;1
element=1;18;1;0;0;0,5;2;1;2
element=1;26;1;0;0;0,5;2;1;2
element=1;28;3;0;0;0,5;2;1;2
element=1;28;3;0;24;1;2;0;1
element=1;36;3;0;0;0,5;2;0;1
element=1;44;3;0;0;0,5;2;0;1
element=1;52;3;0;0;0,5;2;1;2
element=1;55;0;0;0;0,5;2;1;2
element=1;55;0;0;16;1;2;0;1
element=1;63;0;0;0;1;2;0;1
element=1;71;0;0;0;0,5;2;1;2
element=1;55;1;0;5;2,4;2;11;8
element=1;66;1;0;5;2,4;2;11;8
element=1;64;1;0;2;2;2;10;7
element=1;75;2;0;0;0,5;2;1;2
element=1;75;2;0;16;1;2;0;1
element=1;83;2;0;0;0,5;2;0;1
element=1;91;2;0;0;0,5;2;1;2
element=0;12;-1;0;2;2;2;10;7
element=0;88;3;0;0;0;0;13;10
element=0;88;3,2;0;0;0;0;14;11
medkit=1;33;4;0;1;1;0,5;9;6
medkit=1;68;5;0;1;1;0,5;9;6
point=0;6;-1,1;0;1;1;0,5;12;9
point=0;11;-1,1;0;1;1;0,5;12;9
point=1;20;3,1;0;1;1;0,5;12;9
point=1;23;3,1;0;1;1;0,5;12;9
point=1;26;3,1;0;1;1;0,5;12;9
point=1;23;3,1;0;1;1;0,5;12;9
point=1;26;3,1;0;1;1;0,5;12;9
point=1;29;6,1;0;1;1;0,5;12;9
point=1;32;6,1;0;1;1;0,5;12;9
point=1;40;4,1;0;1;1;0,5;12;9
point=1;43;4,1;0;1;1;0,5;12;9
point=1;63;1,1;0;1;1;0,5;12;9
point=1;61;1,1;0;1;1;0,5;12;9
enemy=1;35;5;0;1;1;1;8;8;8;8;5;true;2;32;40
enemy=1;73;5;0;1;1;1;8;8;8;8;5;true;2;71;77
enemy=1;85;4;0;1;1;1;8;8;8;8;5;true;2;83;89
enemy=0;12;5,5;0;1;1;1;7;7;16;17;4;false;2;7;13
enemy=1;23;2,5;0;1;1;1;7;17;16;17;4;false;2;20;25
enemy=1;24;2,5;0;1;1;1;7;17;16;17;4;false;2;20;25
enemy=1;30;4,5;0;1;1;1;7;17;16;17;4;false;2;29;33
enemy=1;35;4,5;0;1;1;1;7;17;16;17;4;false;2;32;37
enemy=1;40;4,5;0;1;1;1;7;17;16;17;4;false;2;37;42
checkpoint=2;3
checkpoint=30;4
